timestamp,value
41756,276.69
41757,250.48
41758,340.76
41759,412.39
41760,1533.68
41761,157.72
41762,5537.03
41763,296.48
41764,1072.5
41765,707.19
41766,-133.46
41767,734.38
41768,1224.15
41769,503.86
41770,1344.2
41771,327.59
41772,4311.5
41773,1187.47
41774,795.99
41775,649.08
41776,147.57
41777,272.63
41778,848.49
41779,325.42
41780,944.44
41781,2390.26
41782,7394.51
41783,2406.03
41784,1962.97
41785,206.29
41786,472.8
41787,267.05
41788,427.99
41789,6826.38
41790,382.69
41791,778.18
41792,271.48
41793,682.06
41794,1107.1
41795,287.65
41796,292.92
41797,776.39
41798,698.17
41799,527.85
41800,743.45
41801,1055.93
41802,352.97
41803,848.57
41804,243.63
41805,631.35
41806,323.18
41807,314.36
41808,1085.58
41809,2099.3
41810,1619.65
41811,156.91
41812,208.26
41813,298.73
41814,332.34
41815,1672.94
41816,706.69
41817,918.83
41819,5936.25
41820,1991.69
41821,564.26
41822,884.04
41823,3272.83
41824,4123.45
41825,427.43
41826,621.52
41827,952.12
41828,762.07
41829,383.07
41830,576.87
41831,310.14
41832,477.73
41833,323.82
41834,449.26
41835,2912.96
41836,610.2
41837,526.57
41838,908.81
41839,1113.06
41840,607.62
41841,268.95
41842,671.7
41843,724.18
41844,387.67
41845,300.61
41846,90.2
41847,55.12
41848,447.3
41849,693.08
41850,928.77
41851,462.55
41852,3925.93
41853,514.34
41854,826.26
41855,4039.11
41856,766.48
41857,526.29
41858,617.76
41859,480.93
41860,1324.82
41861,1274.53
41862,1539.21
41863,-47.14
41864,1687.69
41865,238.08
41866,2774.85
41867,19533.25
41868,475.44
41869,879.72
41870,1426.91
41871,1314.29
41872,451.15
41873,295.94
41874,593.72
41875,647.99
41876,212.66
41877,2116.49
41878,359.47
41879,691.41
41880,357.29
41881,654.95
41882,1428.22
41883,3360.71
41884,784.73
41885,856.04
41886,819.33
41887,1334.85
41888,567.76
41889,5517.56
41890,103.76
41891,414.64
41892,743.59
41893,6475.61
41894,12096.31
41895,884.48
41896,91.01
41897,598.72
41898,3216.19
41899,1417.66
41900,3669.75
41901,17145.66
41902,7543.66
41903,2869.16
41904,580.96
41905,904.47
41906,4442.69
41907,9932.87
41908,19003.4
41909,3712.76
41910,7133.82
41911,756.89
41912,755.92
41913,3960.23
41914,2199.56
41915,8654.3
41916,22671.5
41917,116.13
41918,549.78
41919,225.36
41920,180.7
41921,335.71
41922,384.28
41923,200.67
41924,292.44
41925,576.96
41926,3992.04
41927,478.32
41928,997.37
41929,844.22
41930,791.07
41931,6537.14
41932,527.32
41933,1995.91
41934,5746.77
41935,1959.97
41936,8967.54
41937,1669.91
41938,7851.96
41939,9703.39
41940,210.14
41941,16377.13
41942,4493.92
41943,2190.94
41944,15710.38
41945,9636.24
41946,11443.76
41947,3351.31
41948,10406.7
41949,1087.02
41950,11361.57
41951,7002.85
41952,111.23
41953,348.8
41954,3897.55
41955,4677.5
41956,2904.03
41957,1143.39
41958,11292.09
41959,4595.77
41960,2981.53
41961,21458.18
41962,12317.3
41963,7329.94
41964,837.92
41965,1297.04
41966,389.99
41967,579.65
41968,3743.26
41969,501.15
41970,1434.99
41971,496.08
41972,1009.09
41973,1923.16
41974,868.88
41975,801.8
41976,14576.76
41977,1154.54
41978,375.13
41979,571.54
41980,503.75
41981,3933.94
41982,673.03
41983,1613.45
41984,8237.37
